gender,age,zip code,education,role,salary
Female,30,16136,High School Graduate,Customer Service Representative,5027
Female,52,16124,Bachelors,Legal Consultant,16039
Male,30,16142,Bachelors,Executive Assistant,5031
Female,36,16135,Masters,Data Analyst,8033
Male,40,16141,Masters,Sales Support Specialist,10034
Male,49,16129,Bachelors,Administrative Assistant,14537
Female,59,16141,Masters,IT Specialist,19533
Female,38,16145,Masters,Human Resource Recruiter,9025
Male,38,16128,Bachelors,Marketing Specialist,9040
Male,56,16133,Masters,Customer Service Representative,18051
Male,56,16134,Bachelors,Manager,18058
Female,32,16137,Bachelors,Sales Support Specialist,6051
Male,42,16125,Doctorate,Project Manager,11052
Female,41,16121,High School Graduate,Compensation and Benefits Specialist,10555
Female,55,16137,High School Graduate,Executive Assistant,17539
Male,56,16121,Bachelors,Training and Development Specialist,18051
Male,39,16141,Bachelors,Marketing Specialist,9555
Male,60,16142,Bachelors,Training and Development Specialist,20053
Female,54,16140,High School Graduate,Sales Representative,17044
Female,56,16131,Bachelors,Project Manager,18040
Female,49,16124,High School Graduate,Project Manager,14545
Female,56,16121,Masters,Project Manager,18047
Female,51,16121,Masters,Project Manager,15540
Male,34,16144,Masters,Sales Support Specialist,7041
Female,40,16127,High School Graduate,Marketing Specialist,10032
Male,60,16148,Masters,Data Analyst,20052
Male,31,16143,Masters,Software Engineer,5555
Male,29,16139,Bachelors,IT Specialist,4535
Female,25,16141,Bachelors,IT Specialist,2552
Female,55,16148,Masters,IT Specialist,17548
Male,37,16126,High School Graduate,Human Resource Recruiter,8529
Male,56,16124,High School Graduate,Sales Representative,18030
Female,53,16131,Masters,Administrative Assistant,16550
Female,51,16145,Masters,Training and Development Specialist,15537
Female,55,16147,High School Graduate,Sales Support Specialist,17533
Female,28,16149,High School Graduate,Sales Representative,4058
Female,52,16129,Bachelors,Team Leader,16035
Female,45,16149,Bachelors,Administrative Assistant,12545
Male,55,16142,Bachelors,Executive Assistant,17540
Male,58,16136,Masters,Training and Development Specialist,19030
Female,47,16124,Doctorate,Project Manager,13548
Male,34,16148,Bachelors,Finance Analyst,7041
Female,49,16146,Doctorate,Team Leader,14555
Female,35,16136,Masters,Legal Consultant,7533
Male,30,16131,Masters,Training and Development Specialist,5046
Male,41,16148,Bachelors,Project Manager,10554
Female,58,16145,Doctorate,Legal Consultant,19051
Male,43,16147,High School Graduate,Customer Service Representative,11533
Male,38,16147,Masters,Finance Analyst,9052
Male,31,16144,High School Graduate,Human Resource Recruiter,5541
Male,42,16134,Bachelors,Training and Development Specialist,11032
Female,53,16141,High School Graduate,Customer Service Representative,16548
Male,60,16132,High School Graduate,Project Manager,20044
Female,59,16124,Masters,IT Specialist,19560
Female,54,16124,High School Graduate,Customer Service Representative,17048
Male,46,16132,Bachelors,Team Leader,13037
Female,59,16147,High School Graduate,Sales Representative,19540
Male,57,16141,Doctorate,Sales Support Specialist,18552
Male,46,16138,Masters,Customer Service Representative,13055
Male,25,16133,Masters,Software Engineer,2548
Male,36,16142,High School Graduate,Customer Service Representative,8039
Male,40,16137,Masters,Finance Analyst,10033
Female,36,16126,Masters,Software Engineer,8059
Female,60,16148,Doctorate,Administrative Assistant,20043
Female,32,16134,High School Graduate,Customer Service Representative,6035
Male,53,16121,Bachelors,Human Resource Recruiter,16528
Male,49,16142,Bachelors,Project Manager,14556
Female,44,16140,Masters,Customer Service Representative,12044
Female,25,16136,Masters,Legal Consultant,2555
Male,26,16137,High School Graduate,Customer Service Representative,3026
Female,57,16146,Masters,Data Analyst,18555
Male,27,16131,Bachelors,Human Resource Recruiter,3525
Female,42,16121,Masters,Project Manager,11055
Male,35,16147,Bachelors,Team Leader,7555
Female,38,16128,High School Graduate,Customer Service Representative,9047
Female,59,16133,Masters,Project Manager,19555
Male,44,16125,Masters,Software Engineer,12036
Male,28,16148,Masters,Sales Support Specialist,4055
Male,58,16124,Masters,Human Resource Recruiter,19052
Female,35,16126,Bachelors,Executive Assistant,7533
Female,41,16149,Masters,Project Manager,10542
Male,48,16149,Masters,Executive Assistant,14046
Male,60,16136,Bachelors,Accountant,20059
Female,57,16138,Doctorate,Project Manager,18551
Male,54,16145,Masters,Sales Representative,17044
Male,43,16128,High School Graduate,Project Manager,11551
Female,35,16134,Bachelors,Team Leader,7551
Male,28,16126,High School Graduate,IT Specialist,4033
Female,59,16132,Masters,Project Manager,19549
Male,50,16145,High School Graduate,IT Specialist,15053
Male,44,16147,Bachelors,Manager,12049
Female,57,16135,Bachelors,Legal Consultant,18543
Male,39,16146,Bachelors,Executive Assistant,9549
Male,52,16145,Masters,Sales Support Specialist,16026
Female,35,16131,High School Graduate,Human Resource Recruiter,7528
Female,28,16135,High School Graduate,Human Resource Recruiter,4029
Female,53,16137,Doctorate,Project Manager,16555
Male,37,16126,Masters,Legal Consultant,8529
Male,32,16144,Masters,Accountant,6044
Female,45,16131,Masters,Training and Development Specialist,12543
Female,43,16137,Masters,Team Leader,11539
Male,43,16127,High School Graduate,Sales Representative,11557
Male,41,16129,High School Graduate,Compensation and Benefits Specialist,10528
Female,34,16136,High School Graduate,Sales Representative,7058
Female,41,16132,Doctorate,Project Manager,10553
Male,31,16144,Masters,Compensation and Benefits Specialist,5533
Male,48,16133,Masters,Team Leader,14045
Male,26,16138,High School Graduate,Customer Service Representative,3038
Female,27,16145,Masters,Software Engineer,3534
Male,49,16148,Masters,Finance Analyst,14559
Male,59,16144,Masters,Software Engineer,19533
Female,50,16136,Bachelors,Accountant,15053
Male,56,16137,High School Graduate,Finance Analyst,18037
Male,56,16141,Masters,Human Resource Recruiter,18054
Female,55,16124,Masters,Training and Development Specialist,17535
Female,31,16131,High School Graduate,Sales Support Specialist,5559
Female,45,16141,Masters,Project Manager,12541
Male,60,16131,Bachelors,Project Manager,20042
Female,45,16139,Doctorate,Project Manager,12544
Female,31,16125,Masters,Training and Development Specialist,5529
Female,38,16126,Bachelors,Compensation and Benefits Specialist,9031
Female,48,16126,Bachelors,Executive Assistant,14035
Male,53,16134,Masters,Project Manager,16546
Male,53,16138,High School Graduate,Customer Service Representative,16525
Male,51,16121,Bachelors,Accountant,15551
Male,46,16137,Masters,Team Leader,13039
Female,40,16125,Bachelors,Human Resource Recruiter,10027
Male,29,16132,Masters,Data Analyst,4541
Male,43,16146,High School Graduate,Human Resource Recruiter,11539
Male,45,16131,Bachelors,Manager,12546
Female,47,16126,Bachelors,Accountant,13530
Male,43,16145,Bachelors,Finance Analyst,11557
Male,28,16142,Bachelors,Data Analyst,4047
Male,52,16121,High School Graduate,Compensation and Benefits Specialist,16059
Female,35,16143,Bachelors,Training and Development Specialist,7549
Female,42,16132,Masters,Legal Consultant,11047
Male,31,16143,Bachelors,Sales Representative,5552
Male,29,16134,Bachelors,IT Specialist,4552
Female,34,16126,Bachelors,Training and Development Specialist,7027
Female,52,16140,Bachelors,Sales Support Specialist,16041
Female,28,16127,High School Graduate,Human Resource Recruiter,4048
Male,43,16141,Bachelors,Sales Support Specialist,11534
Male,33,16128,Bachelors,Customer Service Representative,6529
Female,53,16125,Bachelors,Training and Development Specialist,16546
Female,31,16135,Masters,Sales Support Specialist,5559
Female,41,16140,High School Graduate,Marketing Specialist,10530
Male,48,16143,Bachelors,Customer Service Representative,14033
Male,41,16125,High School Graduate,Administrative Assistant,10554
Male,46,16149,Doctorate,Team Leader,13050
Male,48,16135,Bachelors,Training and Development Specialist,14039
Female,31,16129,Masters,Legal Consultant,5528
Female,25,16142,Bachelors,Human Resource Recruiter,2554
Male,47,16121,Masters,Team Leader,13535
Female,27,16146,Masters,Training and Development Specialist,3557
Female,50,16149,High School Graduate,Administrative Assistant,15059
Male,31,16128,High School Graduate,Compensation and Benefits Specialist,5527
Female,28,16147,Doctorate,Customer Service Representative,4051
Male,54,16142,High School Graduate,IT Specialist,17057
Male,59,16142,Bachelors,Data Analyst,19535
Male,52,16139,Masters,Legal Consultant,16049
Male,60,16131,Bachelors,Data Analyst,20034
Female,47,16127,Bachelors,Manager,13541
Female,30,16127,Masters,Data Analyst,5050
Female,59,16138,Doctorate,Project Manager,19555
Female,40,16126,High School Graduate,Team Leader,10042
Male,52,16134,High School Graduate,Team Leader,16048
Female,55,16129,High School Graduate,IT Specialist,17549
Male,52,16138,Bachelors,Administrative Assistant,16046
Male,47,16143,Masters,Software Engineer,13559
Female,44,16129,Bachelors,Project Manager,12042
Male,49,16134,Masters,Team Leader,14547
Female,35,16137,Bachelors,Compensation and Benefits Specialist,7559
Female,50,16144,Masters,Administrative Assistant,15050
Male,28,16127,Bachelors,Training and Development Specialist,4050
Female,37,16136,Bachelors,Team Leader,8535
Male,26,16137,Masters,Sales Representative,3049
Female,45,16149,Masters,Executive Assistant,12553
Female,52,16139,Bachelors,Manager,16051
Male,27,16140,Bachelors,Administrative Assistant,3540
Female,55,16138,Masters,Data Analyst,17553
Female,56,16133,Masters,Finance Analyst,18045
Male,45,16128,Doctorate,Software Engineer,12529
Male,40,16137,Masters,Software Engineer,10047
Female,38,16141,Bachelors,Team Leader,9045
Female,42,16140,Masters,Marketing Specialist,11029
Female,44,16146,Masters,Administrative Assistant,12058
Male,55,16129,Bachelors,Finance Analyst,17556
Female,26,16136,High School Graduate,IT Specialist,3025
Female,46,16148,High School Graduate,Finance Analyst,13058
Female,26,16125,Bachelors,Compensation and Benefits Specialist,3027
Female,55,16125,Masters,Project Manager,17557
Female,59,16132,Masters,Training and Development Specialist,19559
Female,35,16127,Masters,Data Analyst,7533
Male,45,16147,Masters,Software Engineer,12544
Female,39,16142,High School Graduate,Customer Service Representative,9548
Male,29,16147,High School Graduate,Executive Assistant,4540
Female,57,16142,High School Graduate,Customer Service Representative,18556
Female,40,16144,Bachelors,Executive Assistant,10040
Male,57,16143,Bachelors,Human Resource Recruiter,18537
Male,55,16138,Bachelors,Administrative Assistant,17554
Male,49,16132,Bachelors,Project Manager,14552
Male,52,16148,Bachelors,Compensation and Benefits Specialist,16026
Female,52,16132,Bachelors,Data Analyst,16032
Male,53,16143,High School Graduate,Compensation and Benefits Specialist,16546
Male,37,16138,Masters,Team Leader,8544
Female,45,16139,Masters,Project Manager,12540
Male,50,16143,Bachelors,Manager,15050
Male,54,16136,Masters,Project Manager,17049
Male,54,16132,Bachelors,Training and Development Specialist,17028
Female,25,16133,High School Graduate,Accountant,2543
Male,53,16121,Bachelors,Sales Support Specialist,16558
Female,42,16136,Bachelors,Human Resource Recruiter,11048
Female,59,16124,Bachelors,Administrative Assistant,19556
Female,55,16128,Bachelors,Project Manager,17544
Male,43,16138,Bachelors,Project Manager,11542
Female,42,16148,Masters,Marketing Specialist,11050
Male,51,16125,Masters,Legal Consultant,15553
Male,49,16134,Masters,Project Manager,14543
Female,44,16141,High School Graduate,Executive Assistant,12030
Male,54,16144,Masters,Project Manager,17056
Female,47,16140,Masters,Sales Representative,13543
Female,50,16136,Masters,Legal Consultant,15042
Male,60,16127,Masters,Finance Analyst,20055
Female,42,16144,Masters,Customer Service Representative,11046
Female,51,16125,Bachelors,Training and Development Specialist,15560
Male,59,16128,High School Graduate,Administrative Assistant,19533
Male,48,16134,Masters,Project Manager,14055
Female,36,16148,Masters,Data Analyst,8047
Male,43,16139,Doctorate,Training and Development Specialist,11550
Male,29,16149,Masters,Software Engineer,4549
Male,38,16128,Masters,Sales Support Specialist,9045
Male,32,16136,Masters,Administrative Assistant,6029
Female,37,16148,High School Graduate,Customer Service Representative,8560
Female,46,16128,Masters,Software Engineer,13052
Male,31,16137,High School Graduate,Executive Assistant,5554
Female,52,16135,Bachelors,Project Manager,16048
Male,25,16148,Masters,Sales Support Specialist,2552
Female,54,16131,High School Graduate,Project Manager,17053
Female,47,16139,Bachelors,Accountant,13558
Male,51,16141,Masters,Sales Support Specialist,15560
Female,27,16125,High School Graduate,Sales Support Specialist,3533
Female,43,16138,High School Graduate,Sales Representative,11554
Male,33,16128,High School Graduate,Sales Representative,6525
Female,59,16131,Bachelors,Manager,19552
Male,41,16146,High School Graduate,Compensation and Benefits Specialist,10540
Female,54,16135,Masters,Legal Consultant,17051
Female,60,16144,Doctorate,Project Manager,20049
Male,59,16140,Bachelors,Executive Assistant,19528
Female,43,16140,Bachelors,Human Resource Recruiter,11554
Male,40,16125,Doctorate,Project Manager,10041
Male,37,16138,Bachelors,Administrative Assistant,8529
Male,29,16127,Bachelors,IT Specialist,4556
Female,35,16144,Bachelors,Sales Support Specialist,7557
Male,59,16147,Masters,Project Manager,19548
Male,59,16148,Bachelors,Accountant,19539
Male,42,16141,High School Graduate,Team Leader,11050
Female,53,16137,Bachelors,Project Manager,16560
Female,40,16125,Bachelors,Training and Development Specialist,10037
Male,56,16138,Doctorate,Project Manager,18054
Female,46,16128,Bachelors,Project Manager,13045
Male,36,16147,Bachelors,Data Analyst,8058
Male,35,16143,High School Graduate,Customer Service Representative,7528
Female,41,16127,Masters,IT Specialist,10539
Male,45,16137,Bachelors,Training and Development Specialist,12533
Male,28,16135,High School Graduate,Sales Support Specialist,4025
Female,47,16126,Bachelors,Manager,13552
Male,45,16133,Doctorate,Compensation and Benefits Specialist,12539
Male,40,16125,Bachelors,Project Manager,10041
Male,37,16138,Masters,Data Analyst,8525
Female,59,16128,High School Graduate,Compensation and Benefits Specialist,19544
Male,35,16149,Doctorate,Team Leader,7538
Male,60,16139,Masters,Data Analyst,20029
Female,56,16129,Bachelors,Project Manager,18051
Female,52,16135,High School Graduate,Sales Representative,16053
Female,44,16149,Masters,Project Manager,12060
Female,48,16149,Masters,Legal Consultant,14029
Female,41,16137,Bachelors,Compensation and Benefits Specialist,10559
Female,58,16141,Masters,Marketing Specialist,19025
Male,54,16142,Masters,Legal Consultant,17032
Male,48,16149,Bachelors,Human Resource Recruiter,14050
Female,49,16121,Masters,Project Manager,14545
Male,59,16126,Bachelors,IT Specialist,19556
Male,31,16135,Masters,Legal Consultant,5554
Male,59,16138,High School Graduate,Customer Service Representative,19550
Male,45,16136,Masters,Legal Consultant,12531
Female,36,16131,Masters,Compensation and Benefits Specialist,8040
Female,48,16128,High School Graduate,Team Leader,14044
Male,48,16142,Bachelors,Training and Development Specialist,14033
Female,41,16138,High School Graduate,Compensation and Benefits Specialist,10552
Male,42,16143,High School Graduate,IT Specialist,11057
Female,42,16146,Doctorate,Executive Assistant,11027
Male,37,16127,Masters,Software Engineer,8537
Male,38,16131,High School Graduate,Sales Representative,9053
Male,54,16131,Bachelors,Executive Assistant,17033
Male,53,16134,High School Graduate,Accountant,16547
Female,44,16135,Masters,Project Manager,12043
Male,49,16141,Masters,Legal Consultant,14548
Female,26,16148,High School Graduate,Human Resource Recruiter,3040
Male,43,16147,Masters,Team Leader,11554
Female,45,16129,Doctorate,Project Manager,12560
Male,55,16125,Masters,Finance Analyst,17540
Female,46,16131,Bachelors,Human Resource Recruiter,13040
Female,30,16132,Doctorate,Sales Representative,5048
Female,31,16140,Masters,Data Analyst,5529
Male,57,16137,Masters,Project Manager,18545
Female,41,16134,Bachelors,Data Analyst,10554
Female,51,16142,Masters,Project Manager,15558
Female,49,16139,High School Graduate,Compensation and Benefits Specialist,14525
Female,58,16128,Bachelors,Project Manager,19048
Female,45,16146,High School Graduate,IT Specialist,12552
Female,48,16121,High School Graduate,Team Leader,14040
Female,26,16124,Masters,Administrative Assistant,3051
Male,50,16148,Masters,Manager,15051
Female,50,16127,High School Graduate,Marketing Specialist,15049
Male,43,16146,Bachelors,Project Manager,11548
Male,51,16145,Masters,Sales Support Specialist,15550
Female,42,16121,Doctorate,Project Manager,11047
Female,27,16139,Bachelors,Sales Representative,3556
Male,48,16129,High School Graduate,Manager,14060
Male,39,16135,High School Graduate,Compensation and Benefits Specialist,9530
Female,58,16143,Bachelors,Project Manager,19055
Female,52,16136,Doctorate,Manager,16060
Male,59,16125,High School Graduate,Accountant,19546
Female,59,16128,High School Graduate,Compensation and Benefits Specialist,19550
Male,46,16139,Masters,Executive Assistant,13025
Female,34,16132,Bachelors,Accountant,7035
Female,51,16140,Masters,Project Manager,15540
Male,49,16145,High School Graduate,Team Leader,14535
Male,50,16137,High School Graduate,Training and Development Specialist,15058
Female,57,16133,Bachelors,Accountant,18526
Female,58,16139,Masters,Project Manager,19051
Male,50,16131,Masters,Finance Analyst,15051
Female,46,16138,High School Graduate,Team Leader,13052
Female,30,16137,Bachelors,IT Specialist,5034
Female,47,16135,Masters,Sales Representative,13534
Male,36,16129,Masters,Team Leader,8038
Male,55,16126,Masters,Training and Development Specialist,17551
Female,45,16127,High School Graduate,Manager,12544
Female,47,16145,High School Graduate,Sales Representative,13532
Male,54,16144,High School Graduate,Finance Analyst,17034
Male,52,16134,High School Graduate,Marketing Specialist,16060
Male,59,16131,High School Graduate,Training and Development Specialist,19560
Female,44,16144,Masters,Project Manager,12053
Female,26,16127,Masters,Training and Development Specialist,3027
Male,48,16142,Bachelors,Compensation and Benefits Specialist,14048
Male,30,16146,High School Graduate,Finance Analyst,5056
Male,56,16134,High School Graduate,Training and Development Specialist,18037
Female,54,16129,Masters,Legal Consultant,17031
Female,46,16141,Bachelors,Marketing Specialist,13049
Female,52,16127,High School Graduate,Marketing Specialist,16034
Female,41,16135,Masters,Team Leader,10538
Female,36,16149,High School Graduate,Team Leader,8050
Female,56,16143,Bachelors,Training and Development Specialist,18054
Male,59,16133,High School Graduate,Compensation and Benefits Specialist,19559
Female,25,16142,Masters,Sales Support Specialist,2551
Female,57,16143,Bachelors,Project Manager,18540
Female,53,16126,Masters,Compensation and Benefits Specialist,16544
Male,51,16140,Bachelors,Compensation and Benefits Specialist,15542
Female,48,16128,Bachelors,Team Leader,14043
Male,40,16125,Masters,Project Manager,10047
Male,57,16124,Bachelors,Project Manager,18557
Female,57,16145,Masters,Manager,18560
Male,44,16129,Masters,Data Analyst,12042
Female,33,16140,Bachelors,Executive Assistant,6545
Male,27,16127,High School Graduate,Compensation and Benefits Specialist,3541
Male,49,16148,Masters,Compensation and Benefits Specialist,14559
Female,44,16127,Masters,Compensation and Benefits Specialist,12054
Female,30,16132,Bachelors,Training and Development Specialist,5042
Male,60,16132,Bachelors,Finance Analyst,20047
Male,42,16140,Masters,Software Engineer,11051
Female,51,16139,Masters,Marketing Specialist,15539
Male,38,16139,Bachelors,Marketing Specialist,9052
Male,56,16140,High School Graduate,Training and Development Specialist,18026
Male,39,16136,High School Graduate,Sales Representative,9537
Male,43,16147,Masters,Marketing Specialist,11544
Female,45,16146,Bachelors,Compensation and Benefits Specialist,12532
Female,52,16129,Masters,Data Analyst,16026
Male,47,16145,Masters,Accountant,13535
Female,35,16129,Doctorate,Data Analyst,7554
Female,43,16135,Bachelors,Sales Support Specialist,11555
Male,57,16141,High School Graduate,Sales Representative,18541
Male,40,16143,Bachelors,Executive Assistant,10041
Male,58,16136,High School Graduate,Executive Assistant,19029
Male,26,16127,Masters,Administrative Assistant,3046
Female,34,16126,Masters,Human Resource Recruiter,7060
Male,47,16132,Doctorate,Project Manager,13559
Male,56,16144,Doctorate,Data Analyst,18027
Male,42,16134,Masters,Finance Analyst,11044
Male,52,16143,High School Graduate,IT Specialist,16037
Female,46,16131,Masters,Project Manager,13052
Male,55,16148,Masters,Software Engineer,17536
Male,46,16145,High School Graduate,Marketing Specialist,13030
Female,29,16127,High School Graduate,Marketing Specialist,4527
Female,30,16143,Bachelors,Sales Support Specialist,5054
Male,54,16149,Bachelors,Human Resource Recruiter,17059
Female,56,16121,Doctorate,Project Manager,18058
Female,49,16134,Masters,Training and Development Specialist,14525
Female,60,16126,High School Graduate,Finance Analyst,20046
Female,57,16136,Bachelors,Sales Support Specialist,18540
Male,44,16133,Doctorate,Software Engineer,12045
Male,56,16129,Masters,Finance Analyst,18040
Male,55,16145,Bachelors,Finance Analyst,17539
Male,44,16145,High School Graduate,Human Resource Recruiter,12054
Male,32,16144,Bachelors,Data Analyst,6034
Female,33,16148,Bachelors,Executive Assistant,6530
Male,59,16125,Masters,Administrative Assistant,19555
Male,34,16132,Bachelors,Executive Assistant,7048
Female,29,16136,High School Graduate,Training and Development Specialist,4549
Female,51,16137,Masters,IT Specialist,15526
Female,51,16142,Masters,Finance Analyst,15547
Female,53,16132,Doctorate,Project Manager,16553
Female,56,16141,Masters,Manager,18051
Female,59,16125,Bachelors,Software Engineer,19540
Female,45,16127,Bachelors,Team Leader,12538
Female,57,16129,High School Graduate,Customer Service Representative,18538
Male,55,16140,High School Graduate,Project Manager,17544
Male,56,16129,Masters,Finance Analyst,18035
